Gene.symbol	Gene.ID	adj.P.Val	logFC
FAM19A2	338811	5.0074523792294e-10	-3.51643468888889
SLC22A17	51310	5.73522989926883e-10	-1.85750208744444
SDR42E1	93517	9.31544310530518e-10	-2.41420726588889
PRO2012	55478	1.33784978286132e-09	-3.50055684355556
MYCT1	80177	1.64867907398874e-09	-5.55381216261111
ABI3BP	25890	1.65107659663103e-09	-1.66470489877778
NAP1L2	4674	1.77608601322418e-09	-2.634756757
MAN2B1	4125	2.60849061768365e-09	1.93205222955556
STAC	6769	3.03247005290811e-09	-1.47899983538889
SYTL4	94121	3.12592534232564e-09	-3.10377885216667
		3.56648626981114e-09	-1.27524154411111
TCTEX1D1	200132	3.56648626981114e-09	-3.67109859838889
IL12RB2	3595	5.84579500090787e-09	-4.03474281483334
KLF3-AS1	79667	6.1037207088175e-09	-3.03993466994445
TMEM136///TMEM136	219902///219902	7.80480035855353e-09	-2.88016566788889
STARD9	57519	7.80480035855353e-09	-2.6232532995
STARD9	57519	8.00551266284306e-09	-2.65592077622222
PLS3	5358	8.02301079380057e-09	-2.57121711533333
ARMC4	55130	8.07263765897557e-09	-1.55757079688889
CXorf57	55086	1.08910093530731e-08	-2.15286751011111
PGM5P2///PGM5	595135///5239	1.33324515412338e-08	-3.47905136172222
ARMCX1	51309	1.45901798853105e-08	-2.530642614
ECRP///ECRP	643332///643332	1.59004965145994e-08	4.24850250016667
QSOX1	5768	1.7498498581888e-08	2.17343817755556
HTR1F	3355	1.82146907746576e-08	-4.08330626688889
ATP11A	23250	2.21240800326131e-08	2.02648313877778
PLA2R1	22925	2.34213430509323e-08	-1.64227840327778
STARD9	57519	2.62069183075666e-08	-2.89634420705556
PDZRN4	29951	2.84324964482837e-08	-1.45980796511111
CP	1356	2.85250638421279e-08	-2.84665700283333
ATP9A	10079	2.94754419468476e-08	-2.65819950888889
FAM107B	83641	2.95661718311255e-08	2.82746597544444
RNF17	56163	3.02644344806004e-08	-1.48132849744444
BEX5	340542	3.22008179159036e-08	-2.28771540088889
JAM2	58494	3.55799964106692e-08	-1.96624245283333
L3MBTL4	91133	3.97820250330215e-08	-3.19057578333333
SLC25A27	9481	5.02775693633563e-08	-3.00860672877778
BEND7	222389	5.23039642939774e-08	-2.01595482694445
VWDE	221806	7.76934143768469e-08	-3.99593663838889
LTBP3	4054	8.57279136086581e-08	-2.01958679533333
PLD1	5337	1.03920294775405e-07	2.51772861127778
		1.22680122559796e-07	-3.11516283433333
CYYR1	116159	1.23842311038317e-07	-3.74533917566667
		1.28572371174742e-07	-2.46461376233334
TSPYL5	85453	1.42916636949271e-07	-3.0499908065
ENO2	2026	1.64678748040212e-07	-2.15055079755556
		1.72986363295226e-07	2.08102628761111
TLR2	7097	2.03314552175456e-07	2.89160312355556
GPC5	2262	2.06658395972419e-07	-1.85512639205556
CCDC175	729665	2.06658395972419e-07	-2.18676656588889
C3AR1	719	2.13281888220404e-07	4.03608085088889
SEPT5-GP1BB	100526833	2.14907107542166e-07	-2.52482401466667
TSPAN6	7105	2.32275731073698e-07	-1.60834368872222
LDOC1	23641	2.61329891008351e-07	-1.6924170925
REC8	9985	2.63498641176651e-07	-2.32450494572222
PRR11	55771	2.65479654614247e-07	2.96374122755556
ACPP	55	3.17418459807098e-07	3.02392925211111
METTL24	728464	3.52298348444166e-07	-1.77683679722222
DGKD	8527	3.59470702657181e-07	1.41758827277778
TRIM74///TRIM73///TRIM50	378108///375593///135892	3.98408912477963e-07	-1.80105584516667
TNFRSF1B	7133	3.98408912477963e-07	2.66094364438889
TMEM163	81615	4.51077660860483e-07	-2.60430481933333
MTURN	222166	5.36193298756285e-07	-2.913332789
SH3KBP1	30011	6.17888411506578e-07	1.52952036761111
MCF2L2	23101	7.53779750538119e-07	-1.529122043
MAP2K7	5609	8.20406605474252e-07	1.36132732844445
PTPRJ	5795	8.20406605474252e-07	2.80255804422222
HMGN2	3151	8.42216037452169e-07	1.61603412611111
FIGN	55137	8.50761575727372e-07	-1.22122099066667
FHL1	2273	8.50761575727372e-07	-3.542145431
CALN1	83698	8.78642177135026e-07	-2.198106774
FLNA	2316	9.34270794876698e-07	1.40832116283334
VWA2	340706	9.37714076155809e-07	-1.19465742544444
LRRN1	57633	9.73636357280814e-07	-2.61089097483333
PDK1	5163	9.73636357280814e-07	2.09366154027778
ITGB2	3689	1.02157669110842e-06	2.33272565516667
		1.0390019058479e-06	-1.05227679672222
ZNF300	91975	1.11810458615408e-06	-2.25819040022222
MNDA	4332	1.17420315262121e-06	4.30201230822223
NLGN1	22871	1.19266104189162e-06	-0.967074688388888
PCYT1B	9468	1.19266104189162e-06	-2.14248594188889
TYROBP	7305	1.19266104189162e-06	2.78671463333333
SYDE2	84144	1.19266104189162e-06	-1.4738590015
PCDH9	5101	1.2757128679185e-06	-1.47935979761111
MIPOL1	145282	1.27859145071169e-06	-1.1197880595
		1.29047020602282e-06	-3.28283344483333
FGD5	152273	1.31276577739243e-06	-2.04185013277778
PGM5	5239	1.524935113183e-06	-2.11143035911111
DPPA4	55211	1.524935113183e-06	-3.70729284966667
GATS	352954	1.54200346258739e-06	-1.37371631461111
STAC3	246329	1.54200346258739e-06	1.68825048838889
PRKCA	5578	1.58053261600702e-06	2.62459167844444
ZNRF1	84937	1.5931898822917e-06	-1.46821119855556
UCHL1	7345	1.62833978775554e-06	-2.40525458905556
FBN1	2200	1.64083005317398e-06	-2.21190620811111
		1.71660004932831e-06	-2.38875149933333
FAM46A	55603	1.82354622680303e-06	2.13278366911111
TRO	7216	1.89106622482951e-06	-1.94933051411111
FNDC3B	64778	1.89708563579588e-06	2.02647358005555
NCF2	4688	1.95619584984599e-06	3.79404372422222
FAM169A	26049	1.95769612354453e-06	-3.10576538638889
OSCAR	126014	1.97820595854333e-06	1.55007564555556
CAMLG	819	2.09148860894687e-06	-1.80671454705556
THRB	7068	2.09148860894687e-06	-1.95737365
POTEF///POTEJ///POTEM///POTEE///POTEKP	728378///653781///641455///445582///440915	2.140080286698e-06	1.66777954277778
IL1RAP	3556	2.22359875472534e-06	2.57156709988889
SIRPA	140885	2.3584633198411e-06	2.03611367011111
SERPINE2	5270	2.42467576960912e-06	-2.95298163861111
OBSCN	84033	2.42467576960912e-06	-1.05245024455556
GCNT2	2651	2.4692647183312e-06	-2.50409863494445
SEMA3C	10512	2.50094118966552e-06	-2.19111136627778
AASS	10157	2.59590564162463e-06	-3.75011710411111
		2.59590564162463e-06	-2.05946082733334
TVP23A	780776	2.81277585150966e-06	-1.67394623477778
ARHGEF17	9828	2.81358641438431e-06	-1.42430922555555
C10orf10	11067	2.89275067240298e-06	-2.93285814283333
GRN	2896	2.89275067240298e-06	2.24843667866667
MIR24-2	407013	2.89746880202493e-06	-3.61649140277778
CD68	968	2.89746880202493e-06	2.65595269888889
PACRG	135138	2.93945764200665e-06	-1.52040033644444
NSUN7	79730	2.93945764200665e-06	-1.62297949161111
SLC2A9	56606	3.02522334457002e-06	2.08586504122222
RNPEP	6051	3.16433654693624e-06	1.30733498811111
TXNRD3NB///TXNRD3	645840///114112	3.16433654693624e-06	-1.64281156705556
TMEM220	388335	3.34988193035009e-06	-1.65243770072222
CDC42BPA	8476	3.42395534608603e-06	-3.46317713572222
		3.42395534608603e-06	-1.32790699038889
FLJ11710	79904	3.44971254061121e-06	-2.59985144172222
SETBP1	26040	3.47262503022832e-06	-2.08770019088889
CA13	377677	3.47262503022832e-06	-1.70500914488889
PLSCR4	57088	3.98405585197891e-06	-2.63607241572222
SLC8A3	6547	4.0834601350452e-06	-1.40864501883333
CDKN2C	1031	4.11859196314549e-06	1.86276054966667
TMEM246	84302	4.24880991010887e-06	-1.23292611144444
C1orf21	81563	4.24923807583393e-06	-2.58877799861111
RAB8A	4218	4.28130278178061e-06	1.23809668661111
STK33	65975	4.76519938402066e-06	-2.806782981
RYR3	6263	4.77873250062456e-06	-1.39089895638889
		5.64060303639623e-06	-1.67448235855556
TMEM98	26022	5.64060303639623e-06	-2.28738022044444
TIMP1	7076	5.76471533952158e-06	2.599794173
ZNF385D	79750	5.82348274890126e-06	-1.87015214538889
FAM213A	84293	5.82348274890126e-06	-2.34389552816667
MME	4311	5.89743222222061e-06	-2.36484033022222
CSF2RA	1438	5.89743222222061e-06	2.25169069527778
EVA1C	59271	6.4771501512899e-06	-1.74697289283333
WARS	7453	6.4771501512899e-06	2.47366436005556
CLPB	81570	6.4771501512899e-06	1.29599474111111
ZNF354C	30832	6.58948791669448e-06	-1.876411131
HAVCR2	84868	6.94575199257576e-06	2.67119261111111
F2RL1	2150	7.08520593004876e-06	-2.75399271505555
BMP6///BMP6	654///654	7.23848398082148e-06	-1.98988094905556
MDGA2	161357	7.95422248215043e-06	-1.26529799905556
SLC16A2	6567	8.01870110173081e-06	-1.52765116861111
MIR23A	407010	8.23856718629452e-06	-2.89549173122222
SMO	6608	8.62651751271629e-06	-1.40617448022222
CD96	10225	8.62651751271629e-06	5.40090039433333
IL13RA1	3597	8.65540625417233e-06	3.79848389738889
TMEM63A	9725	9.4171268825335e-06	-1.13942555477778
GPR21	2844	1.04758045176074e-05	-3.09015923466667
SGMS2	166929	1.04758045176074e-05	2.31581951472222
ARG2	384	1.04758045176074e-05	-2.30269139277778
PDE3B	5140	1.0570523658541e-05	3.03483725694445
TREM1	54210	1.08423911615107e-05	3.94227688738889
ARMCX2	9823	1.11772703924903e-05	-1.50707428522222
SHANK3	85358	1.14095476455609e-05	-1.54914173394445
SERGEF	26297	1.15719287438664e-05	-1.55922602894444
ATP6V1B2	526	1.19605353366462e-05	1.25807904888889
ARSB	411	1.20899977330322e-05	1.50635232777778
		1.21809761517164e-05	-2.22522258183333
TMEM104	54868	1.26986102095417e-05	1.61074137816667
WDR17	116966	1.26986102095417e-05	-2.43799666372222
CDADC1	81602	1.29369453521537e-05	-1.67071134261111
HIST1H2BJ	8970	1.29369453521537e-05	-2.36772580705556
TPD52L2	7165	1.31260226592047e-05	1.45938330444445
SSPN	8082	1.31331184728306e-05	-2.27199150316667
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	100996712///653464///647135///23380	1.33804404227241e-05	1.93852107083334
PXK	54899	1.3491514972502e-05	1.75014154961111
GGT7	2686	1.37250969328589e-05	-0.982222107277781
LOC102724238///LOC554249///GLIDR	102724238///554249///389741	1.39082712873522e-05	-1.22934292855556
RAPGEF3	10411	1.42075622222719e-05	-1.15628972433333
CD33	945	1.45320991645374e-05	2.76342909844444
ACTG1	71	1.46569213097516e-05	0.857393391666665
		1.46927608362206e-05	1.66753962511111
EIF3J-AS1	645212	1.58158780501803e-05	-1.52707727927778
TSPAN2	10100	1.59558706385788e-05	-3.28671068655556
PAWR	5074	1.59645129781337e-05	-3.12392757722222
LOC100129940	100129940	1.6160944231132e-05	-1.78699972788889
NEDD9	4739	1.63712993094026e-05	2.22643796266667
KLHL3	26249	1.64396683771576e-05	-1.680755546
CPD	1362	1.64396683771576e-05	1.613452356
ITGAM	3684	1.70336968383178e-05	3.01838330827777
FCER1G	2207	1.78515675357867e-05	3.73918189561111
BAIAP3	8938	1.79436881522963e-05	-1.43197157944444
UNC93B1	81622	1.80610103122678e-05	1.80450802444444
SLC18A2	6571	1.83363620767391e-05	-2.96111757938889
DMRTC1B///FAM226B///FAM226A///DMRTC1	728656///653687///203429///63947	2.02409328219359e-05	-1.20987295444445
CHRNA5	1138	2.02409328219359e-05	-2.59953386122222
AKT3	10000	2.18414476103872e-05	-3.48438311033333
PTPN18	26469	2.19112990452099e-05	2.14806553161111
MYO5C	55930	2.24524924357965e-05	-2.24146817372222
TAPT1-AS1	202020	2.25419382702805e-05	-1.59221243755555
		2.30282438752671e-05	-2.59531469377778
NT5DC3	51559	2.30430921433429e-05	2.28589401133334
TMTC2	160335	2.38518609155107e-05	2.155041363
SNX30	401548	2.5009038541333e-05	1.63168191283333
SP140	11262	2.5009038541333e-05	1.970577088
LAG3	3902	2.52007699518378e-05	-1.2974006235
ROBO4	54538	2.54567808545265e-05	-1.51598861416667
GPRASP1	9737	2.59970317176796e-05	-1.68825946022222
IFI30	10437	2.64134983084519e-05	3.04636958477778
CTSH	1512	2.7172808681451e-05	3.02466021177778
ARHGAP19-SLIT1///ARHGAP19	100533184///84986	2.7172808681451e-05	1.619234086
DPP9	91039	2.76915957274027e-05	1.67753630655556
PRSS3P2///PRSS2///PRSS3P2///PRSS2	154754///5645///154754///5645	2.78246899300369e-05	-2.26258954705556
HMGN2	3151	2.79653840289506e-05	1.33345322611111
MIRLET7C	406885	2.83724104812246e-05	-0.778305240333334
SEPT5-GP1BB	100526833	2.9299376475729e-05	-2.3336607885
MED12L	116931	3.03649356035064e-05	-2.89216043522222
RASSF9	9182	3.0610309214762e-05	-1.44500066872222
NETO2	81831	3.1110123182049e-05	3.87812040183334
LCP1	3936	3.11431588253456e-05	1.08851804111111
SPAG5	10615	3.35434820605988e-05	2.15802786205556
LYST	1130	3.41814669138215e-05	2.164065035
IL17RA	23765	3.47589602033272e-05	2.27797477283333
ARHGAP22	58504	3.47589602033272e-05	-1.700199197
PLCB2	5330	3.64608923866881e-05	1.36025346866666
GIPC2	54810	3.64608923866881e-05	-2.0958105245
CACNB2	783	3.74165339888037e-05	-1.764932342
		3.79966190946116e-05	-2.19187522
GPR132	29933	3.83010724306517e-05	1.94342437255556
LTBP4	8425	3.94269960815953e-05	-1.10293657411111
BANF1	8815	4.05921662682889e-05	1.48812055988889
ZNF106	64397	4.13646279532106e-05	1.5946915765
FAM65C	140876	4.13646279532106e-05	-1.7619729505
TPTEP1	387590	4.22838837864527e-05	-2.57349238866667
PITPNM1	9600	4.25477786716629e-05	1.35134574511111
SMARCA1	6594	4.28113035877934e-05	-2.75265905927778
SV2A	9900	4.30022745331456e-05	-1.81387533172222
SNHG16///SNORD1C///SNHG16	100507246///677850///100507246	4.31627490113065e-05	-1.90756923833333
ACTB	60	4.48571309263229e-05	1.20680185722222
GUCY1B3	2983	4.53179800886749e-05	-2.64904138705556
CYBB	1536	4.53731000559263e-05	4.50798640572222
		4.53731000559263e-05	1.71587967972222
INPPL1	3636	4.60527615319375e-05	1.00132000427778
NDUFA10	4705	4.60661972055907e-05	-0.887545596055558
PBXIP1	57326	4.61562904148817e-05	-1.93168316472222
CCL5	6352	4.79823861177991e-05	2.9867176715
CECR1	51816	4.9587037995467e-05	2.937215593
TRIB1	10221	5.07076679036574e-05	2.6994676355
FANCD2	2177	5.11720462272636e-05	1.76361529072222
NUP62CL	54830	5.58821492357119e-05	-1.58139347911111
PINLYP	390940	5.58821492357119e-05	-1.41340045111111
TPM2	7169	5.63998805190319e-05	-1.61622302027778
		5.63998805190319e-05	1.14356719055556
C10orf12	26148	5.80623837255933e-05	1.69994605338889
ANAPC15	25906	5.80813333675099e-05	1.86802896488889
CLDN15	24146	5.86093683174788e-05	-1.15833782211111
		6.12123002116678e-05	-1.79124846044444
STAB1	23166	6.18178926419063e-05	2.46003234833333
PLAUR	5329	6.32043799538237e-05	2.63837676227778
SYPL1	6856	6.32182353850244e-05	-1.24755788772222
TARP	445347	6.37322381181447e-05	4.39374550822222
DIAPH2	1730	6.41141497667451e-05	1.48101882838889
MREG	55686	6.41141497667451e-05	-2.27307081344445
		6.81535717837962e-05	1.81363929388889
FSTL1	11167	6.88285927823677e-05	-2.46893344483333
SPINK2	6691	6.930950403662e-05	-3.25460634505556
KCTD20	222658	6.98085776347928e-05	0.833920495500002
GPR173	54328	7.28988165909528e-05	-1.15290416505556
FEZ2	9637	7.31968174269407e-05	1.23002558783333
		7.39464648859288e-05	-1.76554035172222
		7.44999705504151e-05	1.6613739595
ELOVL7	79993	7.57840823966731e-05	-3.31844801422222
CD180	4064	7.59298406709437e-05	3.50724342788889
KPNA6	23633	8.18730159359551e-05	1.33336443216667
DOT1L	84444	8.37880146456206e-05	1.15812435311111
IQGAP3	128239	8.37880146456206e-05	1.49376035766667
TP53INP1	94241	8.38094167185616e-05	-1.48308771127778
CORO1A	11151	8.5915945985322e-05	1.33554957505556
LOC400464	400464	8.61543732015361e-05	-1.8256440165
NDRG1	10397	8.62760241588021e-05	1.01341783105556
SCD	6319	8.88467246843147e-05	-2.4003196505
PARP8	79668	8.99529679936927e-05	2.19363706088889
ARF1	375	9.06900250352292e-05	0.982237952222221
ABO	28	9.0799350449524e-05	-1.958643252
C1orf132///MIR29C	100128537///407026	9.29531457432226e-05	-2.48351618055556
TADA2B	93624	9.31459694068103e-05	1.52605906516667
ZNF154	7710	9.40707158005605e-05	-2.35200853355556
TAF5L	27097	9.49742144527841e-05	1.02195218888889
ACTN1	87	0.000100708701163769	2.10897223472222
CD109	135228	0.00010139949314096	-3.16836670755556
		0.000101435782935507	-1.12647406194444
PTPRD	5789	0.000102070423923856	-1.51204840166667
KYNU	8942	0.000105776404900937	3.60537783433333
DKFZP434L187	26082	0.000105939471187961	-1.36768066461111
DPP3	10072	0.000106499464937476	1.46012934122222
GATA3	2625	0.00010702636970179	-1.50491306338889
CBL	867	0.00010702636970179	1.25418066955556
FAM72A///FAM72D///FAM72B	729533///728833///653820	0.00010702636970179	2.46111586072222
ITGB7	3695	0.000112075744326835	2.36818975588889
NPR3	4883	0.000116292744212175	-2.93673127844445
EIF5AL1///EIF5A	143244///1984	0.000120476389903376	2.02313946516667
FAM129A	116496	0.000122025685762545	1.93109744883333
BUB1B	701	0.000126905603432019	1.98501710927778
DCUN1D1	54165	0.000127596822452972	2.20619516077777
SUCNR1	56670	0.000131421425698137	2.51295153988889
COPE	11316	0.000131421425698137	1.08636099555556
RASGRP3	25780	0.000131421425698137	3.06218649238889
TCEAL9	51186	0.000131432366320279	-1.52499229172222
LRRC70	100130733	0.000131993865141038	-2.70367413355556
ZBED8	63920	0.000139478883364489	-1.13650897627778
ZNF286B///ZNF286A	729288///57335	0.000141653462954522	-1.71574562744444
ZNF687	57592	0.00014392613482539	1.01371230877777
TRAK2	66008	0.00014392613482539	2.20711022272222
BEX1	55859	0.00014392613482539	-3.58901197238889
FAM21A///FAM21C	387680///253725	0.000144547728400117	0.886049311388886
		0.000145296451436035	-2.48748569061111
AZU1	566	0.000146005806156487	2.51060016705556
RAB31	11031	0.000146091032911825	3.36429058322222
IGF1R	3480	0.000148627446349143	-2.54862501816667
CFP	5199	0.000151398133416154	1.88211710655556
PLPP6	403313	0.000151600896715091	1.46949745044444
AAK1	22848	0.00015332110791717	1.51462877177778
HIBADH	11112	0.000153769415048883	-1.21818041688889
ANXA2R	389289	0.000154423087828269	-2.02989052505555
WDR49	151790	0.000154890331288782	-2.34134118194445
		0.00015497869795515	-1.59838860894445
ADRB2	154	0.000156802877268201	1.59447511888889
MS4A6A	64231	0.000165466546701734	3.70557192588889
VIP	7432	0.00016592026072571	-0.881381238166667
LILRA2	11027	0.000167084269918654	2.34488984922222
ZNF521	25925	0.000168187461217999	-3.543642977
CSF1R	1436	0.000173391048324877	3.00044622072222
MIR27A	407018	0.00017479380748101	-2.30290469633333
FANCL	55120	0.00017487836005141	-1.77714703222222
CTSD	1509	0.000175830903708177	1.57278544566667
SRGAP2	23380	0.000180083175863742	2.00176546088889
NOG	9241	0.000182065510795645	-2.43428025205556
		0.000183798304751741	1.89842675966667
		0.000186770597911486	-1.61667329772222
SAMD13	148418	0.000186770597911486	-1.38874508177778
NABP1	64859	0.00018986761258614	1.53140972694445
CLEC12A	160364	0.000190614905568692	3.70896124572222
CRYGD	1421	0.000190614905568692	-1.42967830122222
ZNF132	7691	0.000191630225356452	-1.48399778555556
CDC14B	8555	0.000204649704376455	-1.22227304016667
FAM27B///FAM27C	100133121///100132948	0.00020575761240745	-1.63910987222222
OPA3	80207	0.000206265252259457	0.854827775388888
		0.000207200012590456	0.914944239999999
TVP23C-CDRT4///CDRT4	100533496///284040	0.000207200012590456	-1.51203278416667
FGF16	8823	0.000207200012590456	-1.34312742911111
PFDN2	5202	0.000207200012590456	0.860047912444446
ASAP1	50807	0.000207200012590456	2.51437884044444
CTSB	1508	0.000207200012590456	1.99860606938889
RNASE2	6036	0.000207200012590456	3.5567829595
SP3	6670	0.000207200012590456	0.907481105888889
C2orf27B///C2orf27A	408029///29798	0.000207682830871079	-1.45640062466667
PIWIL4	143689	0.000207696836297887	2.09453480677778
MPPED2	744	0.000210704901892097	-2.66123114788889
FAM30A	9834	0.000212335953027916	-2.55620161477778
SGSH	6448	0.00021897005772803	1.61749547827778
ABCB1	5243	0.00021987060613043	-2.67723183372222
BSG	682	0.00022451866935944	1.44637750205556
ST6GALNAC4	27090	0.00022451866935944	1.6624610105
		0.000225629133686681	-1.19643807877778
MILR1///MILR1	284021///284021	0.000225629133686681	2.11339342566667
GABBR1	2550	0.000226117209776444	-2.12202350205556
GABPB2	126626	0.000228152987871708	1.43849432327778
KIAA1324L	222223	0.000229108785920271	-2.26127340783333
		0.000229108785920271	-1.63345542577778
MKI67	4288	0.000229108785920271	2.74982960461111
BSPRY	54836	0.000229108785920271	-1.55667842666667
HMGCS1	3157	0.000229108785920271	-1.71890606994444
PLXNB2	23654	0.000229108785920271	1.33302122966667
MEG3	55384	0.000229287323384129	-2.15613275522222
USF1	7391	0.000229420481034988	1.17643673244444
GFI1	2672	0.000230934759806363	2.04045550205556
IGKC	3514	0.00023168922596361	4.03329194444444
FCGR2C///FCGR2B	9103///2213	0.000232137703727673	3.59021757611111
ZNF592	9640	0.000232137703727673	1.08521865694444
TMEM9	252839	0.000234884339507061	-1.21182101005556
CCDC171	203238	0.000238400374979191	-1.8997661405
LOC727751///GOLGA2P3Y///GOLGA2P7///GOLGA2P2Y///GOLGA2P10	727751///401634///388152///84559///80154	0.00024103991424534	-3.22493782172223
CD4	920	0.000241347362936941	2.34849272422223
		0.000243739444685758	1.99124891561111
SLC35E2B	728661	0.000244090657513591	-0.9940407345
TBC1D1	23216	0.000244513176532683	0.952010762499999
CASP10	843	0.000244513176532683	-1.36277405388889
TOP2A	7153	0.000244513176532683	2.73118628144445
GPR160	26996	0.000247074955483359	2.006455923
		0.000247074955483359	1.57675684166667
		0.000251378824408602	-1.3914991585
PTP4A2	8073	0.000253484117488954	1.20237250211111
ZNF474	133923	0.000253484117488954	-1.3474082765
AMT///AMT	275///275	0.000256445104424102	-1.26786705588889
ANLN	54443	0.000256445104424102	2.30175186833334
MYOF	26509	0.000258505503726783	3.1709138235
FAM84B	157638	0.000260423217548133	-1.2616876105
		0.000266926462275601	1.08374350533334
PP13439	100128046	0.000267763993606802	2.12949352822222
SLC37A3	84255	0.000270009578496393	-2.20863078338889
		0.000271915855650102	2.08680710111111
BEX3	27018	0.00027357047491237	-2.46440806983333
MRC1	4360	0.000275182672612949	2.92211890077778
MRPS33	51650	0.000276397837159769	-1.58332885905556
INSIG1	3638	0.000279137721720693	-1.69070982038888
CFD	1675	0.000279137721720693	2.97748055883333
OR6A2	8590	0.000279137721720693	-0.877073559444445
		0.000281775591033489	-1.09607163283333
SLC29A2	3177	0.000282333814171164	-1.18231716661111
		0.000282864194751933	-2.00396887266667
PHOSPHO2-KLHL23///PHOSPHO2///KLHL23	100526832///493911///151230	0.000283549071929885	-1.49626770644444
		0.000284577206876762	-2.64870414205556
RASSF2	9770	0.000287676914593807	1.67073387516666
		0.000287676914593807	-1.78053967783334
AP2A1	160	0.000287676914593807	1.43317678661111
		0.000287676914593807	3.35750454777778
TRIM38	10475	0.000287676914593807	1.36047518133334
		0.000289087780446723	-1.03837823194445
		0.000292421013943616	-1.87882629305556
CD86	942	0.000296919419823466	3.31197186872222
ADAM22	53616	0.000297264634824481	-1.71354529133333
HSPG2	3339	0.000299476280116805	-1.21210236516667
		0.000303368757764199	-1.69690921722222
PAG1	55824	0.000304313969333472	1.6437407755
TCEB3	6924	0.000304313969333472	1.14722194022222
DENND1A	57706	0.000304614764775583	1.11044696333333
TTTY10	246119	0.000306106316487367	-3.11862802972222
ZDHHC15	158866	0.000315775986629447	-1.87173027388889
WBP2	23558	0.000316017260891939	1.2423639235
EPHX2	2053	0.000316017260891939	-1.09703464516667
IFT172	26160	0.000329515052608112	-1.27376924283333
		0.000332144022488284	-1.44696765805556
GBF1	8729	0.000332928779498727	0.891458653444446
AAK1	22848	0.000347374316496601	1.57323737294444
CHRDL1	91851	0.000348578740020963	-2.01708026005555
ITGAX	3687	0.000353176965215698	2.326049011
LINC00893	100131434	0.000355875167967791	-2.26237486038889
IL10RA	3587	0.000357179242715981	2.77917004722222
PTPRE	5791	0.000357179242715981	1.92101409811111
ACAT1	38	0.000357770309088183	1.68014988422222
ID1	3397	0.000361662935749822	-1.8779929025
REP15	387849	0.000364438093788293	-0.759511294222222
GNAI2	2771	0.000367503968852297	1.32951091855556
		0.000376514919396407	-1.22468579933333
PRR15	222171	0.000376514919396407	-1.85142842372222
BBS9	27241	0.00038439641288881	-1.69353604155555
TBC1D8	11138	0.000386251074870165	1.809559816
ZNF667	63934	0.000392690523374615	-2.17359277483333
NUDT10	170685	0.000395706586392279	-1.40316618244445
KIF11	3832	0.000395706586392279	2.18479345711111
ZNF706	51123	0.000397982543507421	-1.66698266577778
SLC36A1	206358	0.000399454428576872	1.27001426033333
		0.000404674433498581	1.69578288166667
ATL1	51062	0.000409177140804089	-1.59703609172222
DAGLA	747	0.000419583127980298	1.10819777922222
LINC01560	203414	0.000419583127980298	-1.86685597716667
		0.000420195776397311	1.92477797183333
HOOK1	51361	0.00042159316547407	-1.44963424888889
CD1D	912	0.00043217376086276	2.00386005672222
